,Seed,NeuronType,MFs,Accuracy,Fscore,Recall,Precision
0,0,andneuron,2,0.956,0.967,1.0,0.935
1,0,andneuron,3,0.733,0.769,0.69,0.87
2,0,andneuron,4,0.489,0.511,0.414,0.667
3,0,orneuron,2,1.0,1.0,1.0,1.0
4,0,orneuron,3,1.0,1.0,1.0,1.0
5,0,orneuron,4,1.0,1.0,1.0,1.0
6,1,andneuron,2,0.956,0.967,1.0,0.935
7,1,andneuron,3,0.733,0.769,0.69,0.87
8,1,andneuron,4,0.578,0.642,0.586,0.708
9,1,orneuron,2,1.0,1.0,1.0,1.0
10,1,orneuron,3,1.0,1.0,1.0,1.0
11,1,orneuron,4,1.0,1.0,1.0,1.0
12,2,andneuron,2,0.956,0.967,1.0,0.935
13,2,andneuron,3,0.733,0.769,0.69,0.87
14,2,andneuron,4,0.578,0.667,0.655,0.679
15,2,orneuron,2,1.0,1.0,1.0,1.0
16,2,orneuron,3,1.0,1.0,1.0,1.0
17,2,orneuron,4,1.0,1.0,1.0,1.0
18,3,andneuron,2,0.956,0.967,1.0,0.935
19,3,andneuron,3,0.733,0.769,0.69,0.87
20,3,andneuron,4,0.467,0.5,0.414,0.632
21,3,orneuron,2,1.0,1.0,1.0,1.0
22,3,orneuron,3,1.0,1.0,1.0,1.0
23,3,orneuron,4,1.0,1.0,1.0,1.0
24,4,andneuron,2,0.956,0.967,1.0,0.935
25,4,andneuron,3,0.733,0.769,0.69,0.87
26,4,andneuron,4,0.644,0.714,0.69,0.741
27,4,orneuron,2,1.0,1.0,1.0,1.0
28,4,orneuron,3,1.0,1.0,1.0,1.0
29,4,orneuron,4,1.0,1.0,1.0,1.0
