,Seed,NeuronType,MFs,Accuracy,Fscore,Recall,Precision
0,0,andneuron,2,0.529,0.364,0.311,0.438
1,0,andneuron,3,0.673,0.622,0.622,0.622
2,0,andneuron,4,0.433,0.459,0.556,0.391
3,0,andneuron,5,0.567,0.571,0.667,0.5
4,0,andneuron,6,0.5,0.469,0.511,0.434
5,0,orneuron,2,0.721,0.667,0.644,0.69
6,0,orneuron,3,0.673,0.622,0.622,0.622
7,0,orneuron,4,0.712,0.659,0.644,0.674
8,0,orneuron,5,0.673,0.595,0.556,0.641
9,0,orneuron,6,0.721,0.674,0.667,0.682
10,1,andneuron,2,0.529,0.364,0.311,0.438
11,1,andneuron,3,0.529,0.515,0.578,0.464
12,1,andneuron,4,0.452,0.424,0.467,0.389
13,1,andneuron,5,0.51,0.514,0.6,0.45
14,1,andneuron,6,0.606,0.61,0.711,0.533
15,1,orneuron,2,0.721,0.667,0.644,0.69
16,1,orneuron,3,0.673,0.622,0.622,0.622
17,1,orneuron,4,0.712,0.659,0.644,0.674
18,1,orneuron,5,0.673,0.595,0.556,0.641
19,1,orneuron,6,0.721,0.681,0.689,0.674
