,Seed,NeuronType,MFs,Accuracy,Fscore,Recall,Precision
0,0,andneuron,2,0.529,0.364,0.311,0.438
1,0,andneuron,3,0.673,0.622,0.622,0.622
2,0,andneuron,4,0.433,0.459,0.556,0.391
3,0,orneuron,2,0.721,0.667,0.644,0.69
4,0,orneuron,3,0.673,0.622,0.622,0.622
5,0,orneuron,4,0.712,0.659,0.644,0.674
6,1,andneuron,2,0.529,0.364,0.311,0.438
7,1,andneuron,3,0.529,0.515,0.578,0.464
8,1,andneuron,4,0.452,0.424,0.467,0.389
9,1,orneuron,2,0.721,0.667,0.644,0.69
10,1,orneuron,3,0.673,0.622,0.622,0.622
11,1,orneuron,4,0.712,0.659,0.644,0.674
12,2,andneuron,2,0.529,0.364,0.311,0.438
13,2,andneuron,3,0.673,0.653,0.711,0.604
14,2,andneuron,4,0.51,0.514,0.6,0.45
15,2,orneuron,2,0.721,0.667,0.644,0.69
16,2,orneuron,3,0.673,0.622,0.622,0.622
17,2,orneuron,4,0.712,0.659,0.644,0.674
18,3,andneuron,2,0.529,0.347,0.289,0.433
19,3,andneuron,3,0.596,0.571,0.622,0.528
20,3,andneuron,4,0.596,0.543,0.556,0.532
21,3,orneuron,2,0.721,0.667,0.644,0.69
22,3,orneuron,3,0.673,0.622,0.622,0.622
23,3,orneuron,4,0.712,0.659,0.644,0.674
24,4,andneuron,2,0.529,0.347,0.289,0.433
25,4,andneuron,3,0.538,0.51,0.556,0.472
26,4,andneuron,4,0.548,0.525,0.578,0.481
27,4,orneuron,2,0.721,0.667,0.644,0.69
28,4,orneuron,3,0.673,0.622,0.622,0.622
29,4,orneuron,4,0.712,0.659,0.644,0.674
