NeuronType,MFs,Accuracy Mean,Accuracy Std,Fscore Mean,Fscore Std,Recall Mean,Recall Std,Precision Mean,Precision Std
andneuron,2,0.803,0.000,0.803,0.000,0.820,0.000,0.787,0.000
andneuron,3,0.763,0.011,0.770,0.011,0.811,0.012,0.734,0.011
andneuron,4,0.747,0.006,0.749,0.007,0.770,0.012,0.729,0.003
andneuron,5,0.727,0.006,0.722,0.006,0.726,0.006,0.720,0.006
andneuron,6,0.703,0.000,0.706,0.004,0.730,0.012,0.685,0.004
orneuron,2,0.795,0.000,0.803,0.000,0.852,0.000,0.759,0.000
orneuron,3,0.811,0.000,0.808,0.000,0.811,0.000,0.805,0.000
orneuron,4,0.799,0.000,0.795,0.000,0.795,0.000,0.795,0.000
orneuron,5,0.815,0.000,0.805,0.000,0.779,0.000,0.833,0.000
orneuron,6,0.791,0.000,0.789,0.000,0.795,0.000,0.782,0.000
