,Seed,NeuronType,MFs,Accuracy,Fscore,Recall,Precision
0,0,andneuron,2,0.803,0.803,0.82,0.787
1,0,andneuron,3,0.771,0.778,0.82,0.741
2,0,andneuron,4,0.743,0.744,0.762,0.727
3,0,andneuron,5,0.731,0.727,0.73,0.724
4,0,andneuron,6,0.703,0.709,0.738,0.682
5,0,orneuron,2,0.795,0.803,0.852,0.759
6,0,orneuron,3,0.811,0.808,0.811,0.805
7,0,orneuron,4,0.799,0.795,0.795,0.795
8,0,orneuron,5,0.815,0.805,0.779,0.833
9,0,orneuron,6,0.791,0.789,0.795,0.782
10,1,andneuron,2,0.803,0.803,0.82,0.787
11,1,andneuron,3,0.755,0.763,0.803,0.726
12,1,andneuron,4,0.751,0.754,0.779,0.731
13,1,andneuron,5,0.723,0.718,0.721,0.715
14,1,andneuron,6,0.703,0.704,0.721,0.688
15,1,orneuron,2,0.795,0.803,0.852,0.759
16,1,orneuron,3,0.811,0.808,0.811,0.805
17,1,orneuron,4,0.799,0.795,0.795,0.795
18,1,orneuron,5,0.815,0.805,0.779,0.833
19,1,orneuron,6,0.791,0.789,0.795,0.782
