,Seed,NeuronType,MFs,Accuracy,Fscore,Recall,Precision
0,0,andneuron,2,0.803,0.803,0.82,0.787
1,0,andneuron,3,0.771,0.778,0.82,0.741
2,0,andneuron,4,0.743,0.744,0.762,0.727
3,0,orneuron,2,0.795,0.803,0.852,0.759
4,0,orneuron,3,0.811,0.808,0.811,0.805
5,0,orneuron,4,0.799,0.795,0.795,0.795
6,1,andneuron,2,0.803,0.803,0.82,0.787
7,1,andneuron,3,0.755,0.763,0.803,0.726
8,1,andneuron,4,0.751,0.754,0.779,0.731
9,1,orneuron,2,0.795,0.803,0.852,0.759
10,1,orneuron,3,0.811,0.808,0.811,0.805
11,1,orneuron,4,0.799,0.795,0.795,0.795
12,2,andneuron,2,0.803,0.803,0.82,0.787
13,2,andneuron,3,0.771,0.78,0.828,0.737
14,2,andneuron,4,0.787,0.787,0.803,0.772
15,2,orneuron,2,0.795,0.803,0.852,0.759
16,2,orneuron,3,0.811,0.808,0.811,0.805
17,2,orneuron,4,0.799,0.795,0.795,0.795
18,3,andneuron,2,0.803,0.803,0.82,0.787
19,3,andneuron,3,0.779,0.781,0.803,0.76
20,3,andneuron,4,0.763,0.769,0.803,0.737
21,3,orneuron,2,0.795,0.803,0.852,0.759
22,3,orneuron,3,0.811,0.808,0.811,0.805
23,3,orneuron,4,0.799,0.795,0.795,0.795
24,4,andneuron,2,0.803,0.803,0.82,0.787
25,4,andneuron,3,0.771,0.776,0.811,0.744
26,4,andneuron,4,0.751,0.746,0.746,0.746
27,4,orneuron,2,0.795,0.803,0.852,0.759
28,4,orneuron,3,0.811,0.808,0.811,0.805
29,4,orneuron,4,0.799,0.795,0.795,0.795
